customer_id,customer_name,segment,recency,frequency,monetary,r_score,f_score,m_score,rfm_total,customer_segment
CU-101234,"John Brown","Home Office",55,1,2063.11,5,5,5,15,Champion
CU-100353,"Mary Rodriguez",Corporate,87,1,2059.96,5,5,5,15,Champion
CU-100928,"Lisa Brown","Home Office",55,1,2012.80,5,5,5,15,Champion
CU-100231,"Patricia Johnson",Corporate,40,1,1992.33,5,5,5,15,Champion
CU-102705,"Robert Smith",Consumer,96,1,1951.00,5,5,5,15,Champion
CU-101876,"Mary Miller","Home Office",27,1,1948.41,5,5,5,15,Champion
CU-102304,"John Johnson",Consumer,96,1,1936.37,5,5,5,15,Champion
CU-100678,"David Hernandez",Corporate,12,1,1875.24,5,5,5,15,Champion
CU-101724,"Linda Johnson",Consumer,96,1,1789.92,5,5,5,15,Champion
CU-102693,"David Brown",Consumer,28,1,1780.49,5,5,5,15,Champion
CU-102804,"William Gonzalez","Home Office",66,1,1694.95,5,5,5,15,Champion
CU-101852,"Sarah Rodriguez",Consumer,85,1,1605.53,5,5,5,15,Champion
CU-100661,"Emma Brown","Home Office",54,1,1576.62,5,5,5,15,Champion
CU-100597,"Elizabeth Miller","Home Office",107,1,1515.02,5,5,5,15,Champion
CU-100500,"Robert Gonzalez","Home Office",12,1,1346.30,5,5,5,15,Champion
CU-102211,"James Davis",Consumer,24,1,1310.30,5,5,5,15,Champion
CU-101125,"David Williams",Corporate,115,1,1307.64,5,5,5,15,Champion
CU-100055,"Elizabeth Rodriguez","Home Office",75,1,1240.17,5,5,5,15,Champion
CU-100556,"Joseph Garcia",Corporate,23,1,1235.48,5,5,5,15,Champion
CU-102151,"David Davis","Home Office",68,1,1194.64,5,5,5,15,Champion
CU-101777,"Robert Johnson","Home Office",74,1,1185.36,5,5,5,15,Champion
CU-101744,"Lisa Miller",Consumer,84,1,1179.95,5,5,5,15,Champion
CU-102021,"Joseph Garcia",Consumer,46,1,1175.75,5,5,5,15,Champion
CU-101499,"James Johnson",Corporate,66,1,1155.75,5,5,5,15,Champion
CU-100681,"James Davis",Corporate,23,1,1154.44,5,5,5,15,Champion
CU-101708,"Mary Lopez",Corporate,18,1,1150.13,5,5,5,15,Champion
CU-100194,"David Wilson",Consumer,48,1,1125.95,5,5,5,15,Champion
CU-101485,"Linda Lopez",Consumer,71,1,1073.37,5,5,5,15,Champion
CU-102235,"Linda Davis",Consumer,18,1,1006.88,5,5,5,15,Champion
CU-101338,"Emma Anderson",Corporate,31,1,819.68,5,5,5,15,Champion
CU-100718,"Patricia Johnson",Corporate,100,1,810.45,5,5,5,15,Champion
CU-100421,"Mary Gonzalez","Home Office",69,1,767.02,5,5,5,15,Champion
CU-101801,"Emma Hernandez",Consumer,33,1,674.88,5,5,5,15,Champion
CU-100723,"Lisa Lopez",Consumer,66,1,656.69,5,5,5,15,Champion
CU-102038,"David Martinez","Home Office",90,1,611.17,5,5,5,15,Champion
CU-101335,"William Williams",Corporate,24,1,593.17,5,5,5,15,Champion
CU-102149,"John Gonzalez",Consumer,117,1,561.33,5,5,5,15,Champion
CU-101038,"Elizabeth Gonzalez","Home Office",112,1,555.00,5,5,5,15,Champion
CU-101037,"Lisa Gonzalez",Corporate,89,1,504.34,5,5,5,15,Champion
CU-102272,"Jennifer Johnson","Home Office",15,1,502.50,5,5,5,15,Champion
CU-102070,"Emma Garcia","Home Office",106,1,482.53,5,5,5,15,Champion
CU-102022,"Michael Johnson",Corporate,71,1,413.21,5,5,5,15,Champion
CU-101541,"William Smith",Corporate,21,1,315.50,5,5,5,15,Champion
CU-100985,"Emma Lopez",Consumer,86,1,306.00,5,5,5,15,Champion
CU-101945,"Patricia Miller",Corporate,29,1,284.09,5,5,5,15,Champion
CU-100840,"Patricia Wilson",Corporate,113,1,261.03,5,5,5,15,Champion
CU-100642,"Richard Johnson",Consumer,105,1,251.46,5,5,5,15,Champion
CU-102514,"Richard Gonzalez","Home Office",16,1,206.98,5,5,5,15,Champion
CU-102203,"Sarah Smith",Corporate,73,1,173.46,5,5,5,15,Champion
CU-101674,"Patricia Gonzalez",Corporate,105,1,3917.56,5,5,4,14,Champion
CU-100997,"Michael Rodriguez",Corporate,16,1,3880.26,5,5,4,14,Champion
CU-101471,"Patricia Smith",Corporate,16,1,3805.18,5,5,4,14,Champion
CU-102901,"Michael Lopez",Consumer,107,1,3777.60,5,5,4,14,Champion
CU-101162,"Patricia Hernandez",Corporate,117,1,3590.91,5,5,4,14,Champion
CU-102604,"Jennifer Smith",Corporate,37,1,3512.89,5,5,4,14,Champion
CU-100873,"Emma Miller","Home Office",106,1,3500.79,5,5,4,14,Champion
CU-102688,"Linda Gonzalez",Corporate,119,1,3487.21,5,5,4,14,Champion
CU-100895,"Sarah Miller",Corporate,74,1,3405.38,5,5,4,14,Champion
CU-100148,"Patricia Miller","Home Office",34,1,3323.64,5,5,4,14,Champion
CU-100722,"Lisa Miller",Corporate,30,1,3318.37,5,5,4,14,Champion
CU-100255,"John Smith",Corporate,8,1,3296.61,5,5,4,14,Champion
CU-100332,"Joseph Anderson",Corporate,19,1,3222.43,5,5,4,14,Champion
CU-102001,"Mary Rodriguez","Home Office",107,1,3134.56,5,5,4,14,Champion
CU-101559,"Elizabeth Gonzalez",Consumer,82,1,3096.14,5,5,4,14,Champion
CU-102767,"Joseph Garcia","Home Office",49,1,3058.46,5,5,4,14,Champion
CU-101889,"James Miller",Corporate,36,1,3050.93,5,5,4,14,Champion
CU-101988,"William Hernandez",Corporate,47,1,2941.25,5,5,4,14,Champion
CU-101639,"Jennifer Hernandez","Home Office",76,1,2934.67,5,5,4,14,Champion
CU-102573,"James Jones","Home Office",7,1,2921.03,5,5,4,14,Champion
CU-101875,"Michael Miller",Consumer,44,1,2911.13,5,5,4,14,Champion
CU-100522,"Emma Anderson",Consumer,60,1,2893.59,5,5,4,14,Champion
CU-102564,"Elizabeth Rodriguez","Home Office",17,1,2884.14,5,5,4,14,Champion
CU-102545,"Mary Anderson",Corporate,88,1,2846.77,5,5,4,14,Champion
CU-100734,"Lisa Anderson",Corporate,81,1,2841.73,5,5,4,14,Champion
CU-101608,"Michael Garcia","Home Office",46,1,2763.46,5,5,4,14,Champion
CU-100487,"Robert Gonzalez",Consumer,27,1,2747.39,5,5,4,14,Champion
CU-102366,"Emma Johnson",Corporate,81,1,2738.83,5,5,4,14,Champion
CU-101092,"Richard Garcia","Home Office",29,1,2712.96,5,5,4,14,Champion
CU-100409,"William Lopez",Corporate,62,1,2699.50,5,5,4,14,Champion
CU-101281,"Mary Smith",Corporate,52,1,2601.97,5,5,4,14,Champion
CU-102111,"Patricia Brown","Home Office",118,1,2529.23,5,5,4,14,Champion
CU-101466,"Patricia Martinez",Corporate,63,1,2494.41,5,5,4,14,Champion
CU-102821,"Emma Anderson",Corporate,99,1,2485.32,5,5,4,14,Champion
CU-101316,"Jennifer Miller","Home Office",39,1,2303.24,5,5,4,14,Champion
CU-102170,"Patricia Garcia",Corporate,70,1,2275.82,5,5,4,14,Champion
CU-101420,"Mary Davis","Home Office",70,1,2251.77,5,5,4,14,Champion
CU-101689,"David Hernandez",Corporate,189,1,2056.53,4,5,5,14,Champion
CU-100415,"Richard Rodriguez",Consumer,278,1,2024.03,4,5,5,14,Champion
CU-102429,"Richard Johnson",Consumer,273,1,1970.99,4,5,5,14,Champion
CU-102946,"William Garcia",Consumer,262,1,1937.20,4,5,5,14,Champion
CU-102612,"Robert Davis",Consumer,248,1,1919.16,4,5,5,14,Champion
CU-101043,"Richard Jones",Corporate,208,1,1909.61,4,5,5,14,Champion
CU-100099,"Mary Rodriguez","Home Office",247,1,1904.20,4,5,5,14,Champion
CU-101636,"William Martinez","Home Office",127,1,1902.65,4,5,5,14,Champion
CU-102277,"Joseph Hernandez","Home Office",236,1,1889.86,4,5,5,14,Champion
CU-100366,"David Wilson","Home Office",232,1,1874.50,4,5,5,14,Champion
CU-102853,"Sarah Anderson","Home Office",269,1,1852.13,4,5,5,14,Champion
CU-100464,"Elizabeth Gonzalez","Home Office",198,1,1843.42,4,5,5,14,Champion
CU-102260,"Sarah Hernandez",Corporate,153,1,1826.84,4,5,5,14,Champion
CU-102951,"Emma Gonzalez",Consumer,189,1,1825.73,4,5,5,14,Champion
CU-102871,"David Anderson",Corporate,139,1,1784.06,4,5,5,14,Champion
CU-101176,"Lisa Smith","Home Office",127,1,1782.77,4,5,5,14,Champion
CU-100204,"Elizabeth Gonzalez",Corporate,230,1,1778.25,4,5,5,14,Champion
CU-102427,"Elizabeth Martinez","Home Office",161,1,1769.68,4,5,5,14,Champion
CU-100962,"David Hernandez","Home Office",278,1,1732.53,4,5,5,14,Champion
CU-100215,"Joseph Hernandez",Corporate,214,1,1674.29,4,5,5,14,Champion
CU-101362,"Robert Miller",Corporate,250,1,1648.22,4,5,5,14,Champion
CU-100473,"Sarah Miller",Corporate,267,1,1607.86,4,5,5,14,Champion
CU-100554,"Joseph Johnson",Consumer,189,1,1568.73,4,5,5,14,Champion
CU-101773,"Patricia Wilson",Corporate,136,1,1562.27,4,5,5,14,Champion
CU-102332,"Elizabeth Jones",Corporate,165,1,1554.30,4,5,5,14,Champion
CU-102762,"Linda Miller",Consumer,183,1,1497.26,4,5,5,14,Champion
CU-100009,"Mary Wilson","Home Office",189,1,1487.30,4,5,5,14,Champion
CU-102561,"Robert Smith",Corporate,163,1,1481.10,4,5,5,14,Champion
CU-101545,"Mary Miller","Home Office",191,1,1453.24,4,5,5,14,Champion
CU-102425,"David Jones","Home Office",197,1,1390.60,4,5,5,14,Champion
CU-102801,"Richard Hernandez",Consumer,259,1,1313.24,4,5,5,14,Champion
CU-100333,"Sarah Miller","Home Office",190,1,1312.10,4,5,5,14,Champion
